# left: rho: 1.0; u: 0.0; p: 1.0
# right: rho: 0.125; u: 0.0; p: 0.1
# gamma = 1.4
# time = 0.2
#          x                   rho                   u                    p                    e          
            0.00390625                    1                    0                    1                  2.5
            0.01171875                    1                    0                    1                  2.5
            0.01953125                    1                    0                    1                  2.5
            0.02734375                    1                    0                    1                  2.5
            0.03515625                    1                    0                    1                  2.5
            0.04296875                    1                    0                    1                  2.5
            0.05078125                    1                    0                    1                  2.5
            0.05859375                    1                    0                    1                  2.5
            0.06640625                    1                    0                    1                  2.5
            0.07421875                    1                    0                    1                  2.5
            0.08203125                    1                    0                    1                  2.5
            0.08984375                    1                    0                    1                  2.5
            0.09765625                    1                    0                    1                  2.5
            0.10546875                    1                    0                    1                  2.5
            0.11328125                    1                    0                    1                  2.5
            0.12109375                    1                    0                    1                  2.5
            0.12890625                    1                    0                    1                  2.5
            0.13671875                    1                    0                    1                  2.5
            0.14453125                    1                    0                    1                  2.5
            0.15234375                    1                    0                    1                  2.5
            0.16015625                    1                    0                    1                  2.5
            0.16796875                    1                    0                    1                  2.5
            0.17578125                    1                    0                    1                  2.5
            0.18359375                    1                    0                    1                  2.5
            0.19140625                    1                    0                    1                  2.5
            0.19921875                    1                    0                    1                  2.5
            0.20703125                    1                    0                    1                  2.5
            0.21484375                    1                    0                    1                  2.5
            0.22265625                    1                    0                    1                  2.5
            0.23046875                    1                    0                    1                  2.5
            0.23828125                    1                    0                    1                  2.5
            0.24609375                    1                    0                    1                  2.5
            0.25390625                    1                    0                    1                  2.5
            0.26171875                    1                    0                    1                  2.5
            0.26953125         0.9784451379        0.02572683885         0.9699538502          2.478304129
            0.27734375         0.9517062179        0.05827892218         0.9330481786          2.450987923
            0.28515625         0.9255550957        0.09083100552         0.8973527264          2.423823094
            0.29296875         0.8999820265         0.1233830888         0.8628342396          2.396809642
            0.30078125         0.8749773738         0.1559351722         0.8294601993          2.369947567
            0.30859375         0.8505316089         0.1884872555         0.7971988096          2.343236869
            0.31640625         0.8266353099         0.2210393388         0.7660189849          2.316677547
            0.32421875         0.8032791617         0.2535914222         0.7358903386          2.290269603
            0.33203125         0.7804539549         0.2861435055         0.7067831708          2.264013035
            0.33984375         0.7581505855         0.3186955888         0.6786684569          2.237907844
            0.34765625          0.736360054         0.3512476722         0.6515178356           2.21195403
            0.35546875         0.7150734651         0.3837997555          0.625303598          2.186151593
            0.36328125          0.694282027         0.4163518388         0.5999986757          2.160500533
            0.37109375         0.6739770506         0.4489039222         0.5755766303           2.13500085
            0.37890625         0.6541499492         0.4814560055         0.5520116416          2.109652543
            0.38671875         0.6347922377         0.5140080888         0.5292784973          2.084455614
            0.39453125          0.615895532         0.5465601722          0.507352582          2.059410061
            0.40234375         0.5974515484         0.5791122555         0.4862098663          2.034515885
            0.41015625         0.5794521031         0.6116643388         0.4658268966          2.009773086
            0.41796875         0.5618891116         0.6442164222         0.4461807846          1.985181664
            0.42578125         0.5447545879         0.6767685055          0.427249197          1.960741619
            0.43359375          0.528040644         0.7093205888         0.4090103453           1.93645295
            0.44140625         0.5117394895         0.7418726722         0.3914429756          1.912315659
            0.44921875         0.4958434304         0.7744247555         0.3745263593          1.888329744
            0.45703125         0.4803448694         0.8069768388         0.3582402827          1.864495207
            0.46484375         0.4652363045         0.8395289222         0.3425650374          1.840812046
            0.47265625         0.4505103287         0.8720810055         0.3274814113          1.817280262
            0.48046875         0.4361596295         0.9046330888         0.3129706784          1.793899855
            0.48828125         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.49609375         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.50390625         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.51171875         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.51953125         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.52734375         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.53515625         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.54296875         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.55078125         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.55859375         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.56640625         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.57421875         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.58203125         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.58984375         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.59765625         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.60546875         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.61328125         0.4263194282           0.92745262         0.3031301781          1.777600069
            0.62109375         0.4263194282           0.92745262         0.3031301781          1.777600069
